LineId;Direction;Order;StopId
200;0;1;22192
200;0;2;22058
200;0;3;22054
200;0;4;22052
200;0;5;22050
200;0;6;20382
200;0;7;20356
200;0;8;20354
200;0;9;20352
200;0;10;20196
200;0;11;20194
200;0;12;20198
200;0;13;20184
200;0;14;20192
200;0;15;20186
200;0;16;20166
200;0;17;20162
200;0;18;20158
200;0;19;20154
200;0;20;20152
200;0;21;20148
200;0;22;20146
200;0;23;20144
200;0;24;20060
200;0;25;20134
200;0;26;11853
200;0;27;11855
200;0;28;11857
200;0;29;11859
200;0;30;10625
200;0;31;10629
200;0;32;10631
200;0;33;10633
200;0;34;10635
200;0;35;10637
200;0;36;10639
200;0;37;10641
200;0;38;10651
200;0;39;10653
200;0;40;10655
200;0;41;10657
200;0;42;10659
200;0;43;10661
200;0;44;10663
200;0;45;10665
200;0;46;10667
200;0;47;10669
200;0;48;10671
200;0;49;10673
200;0;50;10675
200;0;51;10677
200;0;52;13015
200;1;1;13016
200;1;2;10676
200;1;3;10674
200;1;4;10679
200;1;5;10670
200;1;6;10668
200;1;7;10666
200;1;8;10664
200;1;9;10662
200;1;10;10660
200;1;11;10656
200;1;12;10654
200;1;13;10652
200;1;14;10642
200;1;15;10640
200;1;16;10638
200;1;17;10636
200;1;18;10634
200;1;19;10632
200;1;20;10630
200;1;21;10628
200;1;22;10626
200;1;23;11860
200;1;24;11856
200;1;25;11854
200;1;26;11862
200;1;27;11852
200;1;28;20135
200;1;29;20137
200;1;30;20057
200;1;31;20145
200;1;32;20147
200;1;33;20149
200;1;34;20151
200;1;35;20153
200;1;36;20155
200;1;37;20157
200;1;38;20159
200;1;39;20161
200;1;40;20185
200;1;41;20187
200;1;42;20183
200;1;43;20197
200;1;44;20189
200;1;45;20191
200;1;46;20353
200;1;47;20355
200;1;48;20357
200;1;49;20383
200;1;50;22051
200;1;51;22053
200;1;52;22055
200;1;53;22049
200;1;54;22192
202;0;1;10210
202;0;2;10323
202;0;3;10554
202;0;4;10106
202;0;5;10104
202;0;6;10102
202;0;7;10185
202;0;8;10189
202;0;9;10191
202;0;10;10201
202;0;11;10193
202;0;12;10195
202;0;13;10197
202;0;14;10199
202;0;15;10177
202;0;16;50007
202;0;17;50009
202;0;18;10659
202;0;19;10661
202;0;20;10663
202;0;21;10665
202;0;22;10667
202;0;23;10669
202;0;24;10671
202;0;25;10673
202;0;26;10675
202;0;27;10677
202;0;28;13015
202;1;1;13016
202;1;2;10676
202;1;3;10674
202;1;4;10679
202;1;5;10670
202;1;6;10668
202;1;7;10666
202;1;8;10664
202;1;9;10662
202;1;10;10660
202;1;11;50907
202;1;12;10182
202;1;13;10178
202;1;14;10204
202;1;15;10202
202;1;16;10200
202;1;17;10198
202;1;18;10196
202;1;19;10194
202;1;20;10192
202;1;21;10190
202;1;22;10188
202;1;23;10184
202;1;24;10103
202;1;25;10105
202;1;26;10210
204;0;1;30001
204;0;2;30272
204;0;3;30511
204;0;4;10659
204;0;5;10661
204;0;6;10663
204;0;7;10665
204;0;8;10667
204;0;9;10669
204;0;10;10671
204;0;11;10673
204;0;12;10675
204;0;13;10677
204;0;14;13015
204;1;1;13016
204;1;2;10676
204;1;3;10674
204;1;4;10679
204;1;5;10670
204;1;6;10668
204;1;7;10666
204;1;8;10664
204;1;9;10662
204;1;10;10660
204;1;11;30511
204;1;12;30255
204;1;13;30001
720;0;1;10863
720;0;2;11570
720;0;3;11566
720;0;4;11556
720;0;5;11554
720;0;6;11552
720;0;7;11540
720;0;8;11538
720;0;9;11488
720;0;10;11486
720;0;11;11484
720;0;12;11482
720;0;13;11480
720;0;14;11478
720;0;15;11476
720;0;16;11474
720;0;17;11472
720;0;18;11470
720;0;19;11468
720;0;20;11466
720;0;21;11464
720;0;22;11462
720;0;23;11460
720;0;24;11458
720;0;25;10848
720;0;26;10846
720;0;27;10844
720;0;28;10842
720;0;29;10840
720;0;30;10838
720;0;31;10836
720;0;32;10834
720;0;33;10832
720;0;34;10830
720;0;35;10828
720;0;36;10908
720;0;37;10826
720;0;38;10822
720;0;39;10820
720;0;40;10818
720;0;41;10816
720;0;42;10814
720;0;43;10812
720;0;44;10810
720;0;45;10804
720;0;46;10808
720;0;47;10806
720;0;48;10802
720;0;49;10800
720;0;50;10798
720;0;51;10796
720;0;52;10794
720;0;53;10792
720;0;54;10790
720;0;55;10788
720;0;56;10786
720;0;57;10780
720;0;58;10784
720;0;59;10776
720;0;60;10778
720;0;61;10910
720;0;62;10774
720;0;63;10772
720;0;64;10770
720;0;65;10768
720;0;66;10766
720;0;67;10764
720;0;68;10912
720;0;69;10762
720;0;70;10676
720;0;71;10674
720;0;72;10679
720;0;73;13214
720;1;1;13214
720;1;2;12957
720;1;3;10673
720;1;4;10675
720;1;5;10763
720;1;6;10911
720;1;7;10765
720;1;8;10767
720;1;9;10769
720;1;10;10771
720;1;11;10773
720;1;12;10775
720;1;13;10785
720;1;14;10777
720;1;15;10779
720;1;16;10783
720;1;17;10787
720;1;18;10789
720;1;19;10791
720;1;20;10793
720;1;21;10795
720;1;22;10797
720;1;23;10799
720;1;24;10801
720;1;25;10803
720;1;26;10807
720;1;27;10809
720;1;28;10825
720;1;29;10805
720;1;30;10813
720;1;31;10815
720;1;32;10817
720;1;33;10819
720;1;34;10821
720;1;35;10823
720;1;36;10827
720;1;37;10907
720;1;38;10829
720;1;39;10831
720;1;40;10833
720;1;41;10835
720;1;42;10837
720;1;43;10839
720;1;44;10841
720;1;45;10843
720;1;46;10845
720;1;47;10847
720;1;48;10849
720;1;49;11459
720;1;50;11461
720;1;51;11463
720;1;52;11465
720;1;53;11467
720;1;54;11469
720;1;55;11471
720;1;56;11473
720;1;57;11475
720;1;58;11477
720;1;59;11479
720;1;60;11481
720;1;61;11483
720;1;62;11485
720;1;63;11489
720;1;64;11491
720;1;65;11537
720;1;66;11539
720;1;67;11551
720;1;68;11553
720;1;69;11555
720;1;70;11557
720;1;71;11565
720;1;72;11567
720;1;73;11568
720;1;74;10863
725;0;1;50605
725;0;2;50604
725;0;3;50602
725;0;4;50600
725;0;5;50598
725;0;6;50592
725;0;7;50590
725;0;8;50580
725;0;9;50578
725;0;10;50576
725;0;11;50568
725;0;12;50566
725;0;13;50564
725;0;14;50562
725;0;15;50560
725;0;16;50542
725;0;17;50540
725;0;18;50538
725;0;19;50536
725;0;20;50534
725;0;21;50532
725;0;22;50530
725;0;23;50528
725;0;24;50526
725;0;25;50122
725;0;26;50120
725;0;27;50118
725;0;28;50116
725;0;29;50114
725;0;30;50112
725;0;31;50110
725;0;32;50108
725;0;33;50106
725;0;34;50104
725;0;35;50102
725;0;36;50100
725;0;37;50524
725;0;38;50098
725;0;39;50096
725;0;40;50094
725;0;41;50092
725;0;42;50090
725;0;43;50088
725;0;44;50086
725;0;45;50084
725;0;46;50082
725;0;47;50080
725;0;48;50124
725;0;49;50076
725;0;50;50074
725;0;51;50126
725;0;52;50072
725;0;53;50070
725;0;54;50068
725;0;55;50066
725;0;56;50064
725;0;57;50062
725;0;58;50060
725;0;59;50058
725;0;60;50054
725;0;61;50052
725;0;62;50050
725;0;63;50048
725;0;64;50046
725;0;65;50044
725;0;66;50042
725;0;67;50040
725;0;68;50038
725;0;69;50036
725;0;70;50034
725;0;71;50032
725;0;72;50030
725;0;73;50028
725;0;74;50026
725;0;75;50024
725;0;76;50022
725;0;77;50020
725;0;78;50018
725;0;79;50016
725;0;80;50014
725;0;81;50012
725;0;82;50010
725;0;83;50008
725;0;84;50006
725;0;85;50891
725;1;1;50891
725;1;2;50009
725;1;3;50011
725;1;4;50013
725;1;5;50015
725;1;6;50017
725;1;7;50019
725;1;8;50021
725;1;9;50023
725;1;10;50025
725;1;11;50027
725;1;12;50029
725;1;13;50031
725;1;14;50033
725;1;15;50035
725;1;16;50037
725;1;17;50039
725;1;18;50041
725;1;19;50043
725;1;20;50045
725;1;21;50047
725;1;22;50049
725;1;23;50051
725;1;24;50053
725;1;25;50057
725;1;26;50059
725;1;27;50061
725;1;28;50063
725;1;29;50065
725;1;30;50067
725;1;31;50069
725;1;32;50071
725;1;33;50073
725;1;34;50075
725;1;35;50077
725;1;36;50079
725;1;37;50081
725;1;38;50083
725;1;39;50085
725;1;40;50089
725;1;41;50091
725;1;42;50093
725;1;43;50095
725;1;44;50523
725;1;45;50097
725;1;46;50099
725;1;47;50101
725;1;48;50103
725;1;49;50105
725;1;50;50107
725;1;51;50109
725;1;52;50111
725;1;53;50115
725;1;54;50113
725;1;55;50117
725;1;56;50119
725;1;57;50529
725;1;58;50531
725;1;59;50533
725;1;60;50535
725;1;61;50537
725;1;62;50539
725;1;63;50541
725;1;64;50543
725;1;65;50545
725;1;66;50561
725;1;67;50563
725;1;68;50565
725;1;69;50567
725;1;70;50569
725;1;71;50577
725;1;72;50579
725;1;73;50581
725;1;74;50583
725;1;75;50591
725;1;76;50597
725;1;77;50599
725;1;78;50601
725;1;79;50603
725;1;80;50605
730;0;1;50517
730;0;2;50452
730;0;3;50448
730;0;4;50514
730;0;5;50512
730;0;6;50510
730;0;7;50508
730;0;8;50446
730;0;9;50444
730;0;10;50442
730;0;11;50440
730;0;12;50438
730;0;13;50436
730;0;14;50434
730;0;15;50454
730;0;16;50432
730;0;17;51206
730;0;18;51204
730;0;19;51202
730;0;20;51200
730;0;21;51198
730;0;22;51196
730;0;23;50428
730;0;24;50426
730;0;25;50424
730;0;26;50422
730;0;27;50420
730;0;28;50418
730;0;29;50416
730;0;30;50414
730;0;31;50412
730;0;32;50410
730;0;33;50408
730;0;34;50406
730;0;35;50404
730;0;36;50402
730;0;37;50400
730;0;38;50398
730;0;39;50396
730;0;40;50394
730;0;41;50390
730;0;42;50388
730;0;43;50386
730;0;44;50384
730;0;45;50382
730;0;46;50464
730;0;47;50380
730;0;48;50092
730;0;49;50090
730;0;50;50088
730;0;51;50086
730;0;52;50084
730;0;53;50082
730;0;54;50080
730;0;55;50124
730;0;56;50076
730;0;57;50074
730;0;58;50126
730;0;59;50072
730;0;60;50070
730;0;61;50068
730;0;62;50066
730;0;63;50064
730;0;64;50062
730;0;65;50060
730;0;66;50058
730;0;67;50054
730;0;68;50052
730;0;69;50050
730;0;70;50048
730;0;71;50046
730;0;72;50044
730;0;73;50042
730;0;74;50040
730;0;75;50038
730;0;76;50036
730;0;77;50034
730;0;78;50032
730;0;79;50030
730;0;80;50028
730;0;81;50026
730;0;82;50024
730;0;83;50022
730;0;84;50020
730;0;85;50018
730;0;86;50016
730;0;87;50014
730;0;88;50012
730;0;89;50010
730;0;90;50008
730;0;91;50006
730;0;92;50890
730;1;1;50890
730;1;2;50009
730;1;3;50011
730;1;4;50013
730;1;5;50015
730;1;6;50017
730;1;7;50019
730;1;8;50021
730;1;9;50023
730;1;10;50025
730;1;11;50027
730;1;12;50029
730;1;13;50031
730;1;14;50033
730;1;15;50035
730;1;16;50037
730;1;17;50039
730;1;18;50041
730;1;19;50043
730;1;20;50045
730;1;21;50047
730;1;22;50049
730;1;23;50051
730;1;24;50053
730;1;25;50057
730;1;26;50059
730;1;27;50061
730;1;28;50063
730;1;29;50065
730;1;30;50067
730;1;31;50069
730;1;32;50071
730;1;33;50073
730;1;34;50075
730;1;35;50077
730;1;36;50079
730;1;37;50081
730;1;38;50083
730;1;39;50085
730;1;40;50089
730;1;41;50379
730;1;42;50383
730;1;43;50385
730;1;44;50387
730;1;45;50389
730;1;46;50391
730;1;47;50393
730;1;48;50395
730;1;49;50397
730;1;50;50399
730;1;51;50403
730;1;52;50405
730;1;53;50407
730;1;54;50409
730;1;55;50411
730;1;56;50413
730;1;57;50415
730;1;58;50417
730;1;59;50419
730;1;60;50421
730;1;61;50423
730;1;62;50425
